product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Пажитник сушеный,8732,699,Бакалея,Подходит для использования в рационе людей с повышенным давлением.,1998-01-12,2003-02-12,0.75,Backorder
2,Pepsi Max,5951,89,Напитки,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2012-01-07,2022-06-06,4.82,Temporarily Unavailable
3,Каша из дробленного риса,6269,987,Бакалея,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1999-01-13,2012-05-04,2.17,In Stock
4,Ростовская,8617,636,Напитки,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",1993-11-11,2022-08-05,0.37,Cancelled
5,Портулак,2718,73,Овощи,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",1991-08-09,1999-05-07,1.18,Awaiting Review
6,Персик,4946,980,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2011-05-01,2018-02-07,1.17,Out of Stock
7,Пакеты для дня рождения,8380,731,Товары для дома,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1990-06-01,1993-01-09,3.08,On Backorder
8,Формы для выпечки,6218,902,Товары для дома,"Является источником важных нутриентов, необходимых для роста и развития детей.",2013-03-15,2030-04-04,2.51,Pending
9,Дыня,3595,369,Фрукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2002-02-04,2024-01-10,3.01,Cancelled
10,Лимон,5094,296,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2004-05-01,2027-01-21,1.79,Awaiting Payment
11,Слива,4112,580,Фрукты,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2003-03-03,2014-02-04,3.56,Sold
12,Пакеты для семинара,4503,352,Товары для дома,Помогает поддерживать нормальный уровень гормонов в организме.,1993-05-07,1998-05-06,0.4,On Backorder
13,Марьинская,5768,967,Напитки,Помогает улучшить когнитивные функции и память.,1992-03-02,2027-06-11,0.05,New
14,Бекон,9159,661,Мясо,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2004-01-07,2012-01-10,3.16,Sold
15,Фейхоа,4800,242,Фрукты,"Подходит для использования в диетах, направленных на снижение веса.",2011-04-19,2028-10-15,2.44,Out of Stock
16,Буррито с мясом,5087,826,Мясо,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2015-01-03,2019-03-02,1.62,Awaiting Payment
17,Тарелки глубокие,3676,321,Товары для дома,"Подходит для использования в диетах, направленных на снижение веса.",2016-02-01,2022-05-08,0.86,Awaiting Payment
18,Портулак,2750,560,Овощи,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2012-04-08,2022-05-04,4.11,Backorder
19,Чеснок,7518,531,Овощи,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1997-01-12,2029-01-27,2.68,Refunded
20,Горошек консервированный,1194,980,Бакалея,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2000-02-14,2029-02-06,2.39,Refunded
21,Адыгейский сыр,3737,747,Молочные продукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2011-03-05,2012-06-08,1.74,Refunded
22,Молочный шоколад,8565,56,Бакалея,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2013-05-03,2015-06-14,4.97,Shipping
23,Куриные грудки,8876,188,Мясо,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2002-08-02,2028-06-02,1.86,Pending
24,Пахта,9122,317,Молочные продукты,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2008-01-13,2020-01-03,2.47,Pending
25,Тефтели,9071,329,Мясо,Помогает укрепить иммунную систему и защитить организм от инфекций.,2002-05-03,2008-08-08,0.75,Pending
26,Баранина,2244,301,Мясо,"Является источником важных микроэлементов, таких как магний и калий.",2020-07-26,2025-05-03,1.11,Temporarily Unavailable
27,Цукини,8877,395,Овощи,Является неотъемлемой частью рациона многих народов мира.,2011-02-25,2017-01-05,0.84,Sold
28,Кокос,7308,998,Фрукты,Помогает поддерживать нормальный уровень глюкозы в крови.,1998-06-07,2028-11-02,1.09,New
29,Отбивная,3940,473,Мясо,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2013-11-08,2021-02-01,0.89,Backorder
30,Подсолнечник семена,1852,96,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1995-01-13,2001-09-01,3.52,In Stock
31,Сливки,9865,46,Молочные продукты,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",1993-06-10,2016-07-12,0.36,Returned
32,Ополаскиватель для полости рта,1501,834,Товары для дома,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2007-01-24,2017-01-18,0.37,Returned
33,Гусиные потроха,2079,233,Мясо,Помогает поддерживать нормальный обмен веществ и метаболизм.,1996-05-01,1997-02-02,4.2,Returned
34,Пакеты для микроволновки,5492,403,Товары для дома,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1993-06-10,2030-02-07,2.13,Temporarily Unavailable
35,San Pellegrino,7673,879,Напитки,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2016-01-04,2023-02-20,0.56,On Backorder
36,Моцарелла,1334,755,Молочные продукты,Отличается высокими показателями усвояемости организмом.,1997-02-05,2015-08-10,3.72,Shipping
37,Тан,1956,539,Молочные продукты,Отличается высоким уровнем биологической доступности питательных веществ.,1990-05-14,2019-07-02,0.06,Cancelled
38,Огурец,3724,901,Овощи,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2001-05-05,2004-05-02,1.08,Awaiting Review
39,Вологодская,1223,285,Напитки,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2007-01-03,2017-09-03,3.98,Refunded
40,Домашние колбасы,9179,34,Мясо,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",1991-11-08,2002-03-05,4.04,Pending
41,Шелковица,5963,133,Фрукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2003-02-01,2019-09-13,0.03,Backorder
42,Фета,3438,199,Молочные продукты,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",1991-02-08,2005-06-18,2.02,On Backorder
43,Абрикос,6961,982,Фрукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2003-07-04,2013-05-07,4.96,Delivered
44,Чизбургеры,9178,595,Мясо,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2011-08-10,2022-05-06,1.58,Pending
45,Фахитас с мясом,2989,122,Мясо,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2017-04-06,2019-05-04,4.81,In Stock
